Fecha y hora;Fecha;Hora;Hora Entera;Departamento;Localidad;Jurisdiccion ;Tipo de Siniestro;Vehiculo;Rol;Edad;Sexo;Fallecido a los Dias;Otro vehiculo;Lugar del Siniestro;X;Y
17/01/2013 8:00;17/01/2013;8:00:00;8:00;CERRO LARGO;ISIDORO NOBLIA;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;22;M;0;MOTO;BOLIVIA casi Batalla de las Piedras Barrio Berbat Rivero;771380,75;6460128,35
18/01/2013 14:00;18/01/2013;14:00:00;14:00;CANELONES;HIPODROMO;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;36;M;1;CAMION;RUTA 75 esq. PELUFFO;594741,52;6159096,07
18/01/2013 17:00;18/01/2013;17:00:00;17:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;61;M;1;CAMIONETA;AVENIDA JOSE PEDRO VARELA esq. CAMINO CORRALES;578276,78;6142305,6
19/01/2013 23:20;19/01/2013;23:20:00;23:00;FLORIDA;FLORIDA;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;PASAJERO;16;F;1;CAMIONETA;AVENIDA ARTIGAS esq. A. SIERRA;571314,58;6226614,06
20/01/2013 2:00;20/01/2013;2:00:00;2:00;CANELONES;ARAMINDA;NACIONAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;45;M;0;AUTO;RUTA INTERBALNEARIA km. 66;631975,79;6150480,42
20/01/2013 19:40;20/01/2013;19:40:00;19:00;RIVERA;RIVERA;DEPARTAMENTAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;82;M;0;MOTO;AV. LIBANO  esq. TABARê;640793,07;6580318,47
21/01/2013 17:20;21/01/2013;17:20:00;17:00;TACUAREMBO;N/C;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;BICICLETA;CONDUCTOR;14;M;0;CAMIONETA;RUTA 26 km. 348 ;688451,43;6436376,39
21/01/2013 18:40;21/01/2013;18:40:00;18:00;DURAZNO;SANTA BERNARDINA;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;58;M;0;CAMION;RUTA 5 km. 185,300;545426,49;6307253,21
22/01/2013 4:18;22/01/2013;4:18:00;4:00;MALDONADO;MALDONADO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;18;M;10;AUTO;AVENIDA JUAN ANTONIO LAVALLEJA esq. ROMAN GUERRA;686691,32;6135927,36
23/01/2013 22:28;23/01/2013;22:28:00;22:00;TACUAREMBO;N/C;NACIONAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;46;M;0;CAMIONETA;RUTA 5 km. 377,900;597011,92;6479699,27
24/01/2013 10:26;24/01/2013;10:26:00;10:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;25;M;1;CAMION;JOSE LLUPES esq. VITORIA;570563,78;6143148,65
28/01/2013 3:40;28/01/2013;3:40:00;3:00;COLONIA;JUAN LACAZE;DEPARTAMENTAL;CA÷DA;MOTO;CONDUCTOR;17;M;1;N/C;25 DE AGOSTO esq. LOACES;459528,7;6189233,91
28/01/2013 7:00;28/01/2013;7:00:00;7:00;FLORIDA;N/C;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;AUTO;CONDUCTOR;55;M;0;CAMION;RUTA 5 km. 99;571218,19;6228869,94
30/01/2013 20:00;30/01/2013;20:00:00;20:00;ROCHA;N/C;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;AUTO;CONDUCTOR;65;M;0;OMNIBUS;RUTA 15 km. 175;753757,37;6176612,42
30/01/2013 21:15;30/01/2013;21:15:00;21:00;CANELONES;LAS PIEDRAS;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;24;M;0;MOTO;AMERICO VESPUCIO esq. AGRACIADA;571785,34;6160347,39
30/01/2013 22:45;30/01/2013;22:45:00;22:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N CON OBSTµCULO EN CALZADA;MOTO;CONDUCTOR;34;M;0;N/C;AVENIDA GENERAL RIVERA esq. AVENIDA BOLIVIA;584680,96;6138688,32
